date,l1pm10tmean,death,temp,season
1987-01-01,NA,222,34.5,Winter
1987-01-02,NA,246,36.5,Winter
1987-01-03,NA,214,35.75,Winter
1987-01-04,-17.10315342,208,30.25,Winter
1987-01-05,NA,228,31.75,Winter
1987-01-06,NA,245,33.25,Winter
1987-01-07,NA,236,42,Winter
1987-01-08,NA,224,35.25,Winter
1987-01-09,NA,202,36.25,Winter
1987-01-10,1.4561327231,209,38.5,Winter
1987-01-11,NA,226,38,Winter
1987-01-12,NA,224,37,Winter
1987-01-13,NA,224,39.5,Winter
1987-01-14,NA,239,41,Winter
1987-01-15,NA,226,49.75,Winter
1987-01-16,5.0433816425,238,39.5,Winter
1987-01-17,NA,216,27.25,Winter
1987-01-18,NA,208,32.25,Winter
1987-01-19,NA,218,34.75,Winter
1987-01-20,NA,240,31,Winter
1987-01-21,NA,231,35,Winter
1987-01-22,4.7061327231,221,32,Winter
1987-01-23,NA,233,27.25,Winter
1987-01-24,NA,235,15.5,Winter
1987-01-25,NA,218,18,Winter
1987-01-26,NA,236,21.5,Winter
1987-01-27,NA,226,18,Winter
1987-01-28,1.7211327231,230,22.5,Winter
1987-01-29,NA,226,30,Winter
1987-01-30,NA,219,34.5,Winter
1987-01-31,NA,235,34,Winter
1987-02-01,NA,189,31.75,Winter
1987-02-02,NA,234,39,Winter
1987-02-03,31.706132723,260,43.25,Winter
1987-02-04,NA,226,38.5,Winter
1987-02-05,NA,225,29,Winter
1987-02-06,NA,213,37.75,Winter
1987-02-07,NA,215,41.5,Winter
1987-02-08,NA,214,37.25,Winter
1987-02-09,-3.624736842,223,29.75,Winter
1987-02-10,NA,208,27.75,Winter
1987-02-11,NA,206,35.5,Winter
1987-02-12,NA,215,31.5,Winter
1987-02-13,NA,212,25.25,Winter
1987-02-14,NA,215,22.25,Winter
1987-02-15,-9.302463768,187,14.5,Winter
1987-02-16,NA,203,19.5,Winter
1987-02-17,NA,230,28,Winter
1987-02-18,NA,234,32.75,Winter
1987-02-19,NA,218,31,Winter
1987-02-20,NA,201,33.5,Winter
1987-02-21,-9.778867277,186,35.5,Winter
1987-02-22,NA,215,38,Winter
1987-02-23,NA,248,37.25,Winter
1987-02-24,NA,220,37.75,Winter
1987-02-25,NA,194,35.5,Winter
1987-02-26,NA,181,36,Winter
1987-02-27,-9.955533944,211,35.5,Winter
1987-02-28,NA,209,35.25,Winter
1987-03-01,NA,213,40.75,Winter
1987-03-02,NA,220,43.25,Winter
1987-03-03,NA,223,37.5,Winter
1987-03-04,-13.34,224,35,Winter
1987-03-05,-10.49404526,209,34.75,Winter
1987-03-06,NA,217,41.75,Winter
1987-03-07,NA,201,56,Winter
1987-03-08,NA,228,61.25,Winter
1987-03-09,NA,217,43.5,Winter
1987-03-10,NA,205,21.75,Winter
1987-03-11,-11.76482009,197,25.75,Winter
1987-03-12,NA,188,32.75,Winter
1987-03-13,NA,237,35.75,Winter
1987-03-14,NA,182,38.25,Winter
1987-03-15,NA,204,38.25,Winter
1987-03-16,NA,236,37,Winter
1987-03-17,-9.956618357,205,38.25,Winter
1987-03-18,NA,213,44.25,Winter
1987-03-19,NA,201,44,Winter
1987-03-20,NA,225,41.75,Winter
1987-03-21,NA,180,41,Winter
1987-03-22,NA,207,45.75,Winter
1987-03-23,-22.48536398,210,52.25,Winter
1987-03-24,NA,205,53,Winter
1987-03-25,NA,210,53.75,Winter
1987-03-26,NA,195,56,Winter
1987-03-27,NA,194,55.5,Winter
1987-03-28,NA,187,53.5,Winter
1987-03-29,8.4069065467,202,52.25,Winter
1987-03-30,NA,225,53,Winter
1987-03-31,NA,199,48.75,Winter
1987-04-01,NA,186,39.5,Spring
1987-04-02,NA,200,44.5,Spring
1987-04-03,NA,206,49.5,Spring
1987-04-04,-5.353153423,206,50,Spring
1987-04-05,NA,200,48,Spring
1987-04-06,NA,195,43.75,Spring
1987-04-07,NA,236,49.75,Spring
1987-04-08,NA,204,48.75,Spring
1987-04-09,NA,221,53,Spring
1987-04-10,-12.28995169,219,58.75,Spring
1987-04-11,NA,221,59.25,Spring
1987-04-12,NA,210,58.5,Spring
1987-04-13,NA,203,49.25,Spring
1987-04-14,NA,212,53,Spring
1987-04-15,NA,190,51,Spring
1987-04-16,7.3881769641,207,46,Spring
1987-04-17,NA,207,49,Spring
1987-04-18,NA,223,56.5,Spring
1987-04-19,NA,208,63,Spring
1987-04-20,NA,205,62.25,Spring
1987-04-21,NA,209,62,Spring
1987-04-22,-6.91137931,200,59,Spring
1987-04-23,NA,214,50,Spring
1987-04-24,NA,184,52.75,Spring
1987-04-25,NA,185,50,Spring
1987-04-26,NA,183,52.25,Spring
1987-04-27,NA,192,49.5,Spring
1987-04-28,-11.10315342,208,42.5,Spring
1987-04-29,NA,210,51,Spring
1987-04-30,NA,201,54,Spring
1987-05-01,NA,191,54.75,Spring
1987-05-02,NA,194,56,Spring
1987-05-03,NA,227,52.25,Spring
1987-05-04,5.0745735027,196,46.75,Spring
1987-05-05,NA,193,46.5,Spring
1987-05-06,NA,192,54.75,Spring
1987-05-07,NA,225,61.5,Spring
1987-05-08,NA,188,56.75,Spring
1987-05-09,NA,218,62.5,Spring
1987-05-10,2.4475362319,205,72.5,Spring
1987-05-11,NA,216,64,Spring
1987-05-12,NA,215,68.25,Spring
1987-05-13,NA,204,54.75,Spring
1987-05-14,NA,199,53.25,Spring
1987-05-15,NA,220,64.5,Spring
1987-05-16,1.4475362319,206,56.75,Spring
1987-05-17,NA,199,69.75,Spring
1987-05-18,NA,222,67,Spring
1987-05-19,NA,189,53.75,Spring
1987-05-20,NA,186,53,Spring
1987-05-21,NA,164,60.75,Spring
1987-05-22,0.5745735027,201,63.5,Spring
1987-05-23,NA,211,64.75,Spring
1987-05-24,NA,201,61.5,Spring
1987-05-25,NA,193,56.75,Spring
1987-05-26,NA,188,57.25,Spring
1987-05-27,NA,210,56.25,Spring
1987-05-28,-5.205533944,225,68.75,Spring
1987-05-29,NA,214,81.5,Spring
1987-05-30,NA,233,81.75,Spring
1987-05-31,NA,265,83.25,Spring
1987-06-01,NA,238,79.25,Spring
1987-06-02,NA,265,70.25,Spring
